"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"470",199,199.850006,193.789993,194.169998,51135500,193.34079
"471",191.630005,197.179993,191.449997,192.229996,46882900,191.409073
"472",193.899994,194.479996,185.929993,186.800003,60801000,186.002274
"473",188.389999,191.970001,186.899994,191.410004,46478800,190.59259
"474",190.5,194.970001,189.460007,193.529999,36928300,192.703537
"475",190,190.699997,184.990005,185.860001,41925300,185.066284
"476",178.369995,181.470001,175.509995,176.979996,67825200,176.224197
"477",179.729996,180.270004,176.550003,176.779999,31124200,176.025055
"478",174.940002,176.600006,172.100006,172.289993,23624000,171.55423
"479",174.240005,174.949997,170.259995,174.619995,44998500,173.874283
"480",171.509995,174.770004,170.880005,174.240005,41387400,173.495911
"481",176.729996,181.289993,174.929993,180.940002,46062500,180.167297
"482",182.660004,182.800003,177.699997,179.550003,41770000,178.783234
"483",180.289993,180.330002,177.029999,178.580002,39531500,177.817383
"484",184.460007,184.940002,181.210007,184.820007,40802500,184.030731
"485",180.949997,182.389999,176.270004,176.690002,41344300,175.935455
"486",171.759995,174.779999,170.419998,174.720001,43098400,173.973862
"487",173.490005,174.490005,168.300003,168.490005,42281600,167.770477
"488",165,170.089996,163.330002,169.600006,62026000,168.875732
"489",171.660004,171.789993,167,168.630005,47281700,167.909866
"490",170.399994,171.919998,169.020004,169.100006,35627700,168.377869
"491",170.490005,172.570007,169.550003,170.949997,31898600,170.219955
"492",169,169.080002,165.279999,165.479996,40703700,164.773315
"493",165.449997,168.350006,162.729996,163.940002,44287900,163.239899
"494",165.380005,167.529999,164.389999,166.070007,33841500,165.360809
"495",166,167.449997,159.089996,160.889999,49047300,160.202927
"496",160.399994,162.110001,155.300003,156.830002,64773000,156.160263
"497",156.860001,158.160004,149.630005,150.729996,95744600,150.086304
"498",148.149994,151.550003,146.589996,146.830002,37169200,146.202972
"499",148.300003,157.229996,146.720001,157.169998,58582500,156.49881
"500",155.839996,156.770004,150.070007,156.149994,53117100,155.483154
"501",157.5,158.520004,154.550003,156.229996,42291400,155.56282
"502",158.529999,159.360001,156.479996,157.740005,35003500,157.066376
"503",154.889999,158.850006,154.229996,157.919998,37039700,157.245605
"504",143.979996,145.720001,142,142.190002,91312200,141.582779
"505",144.529999,148.550003,143.800003,148.259995,58607100,147.626846
"506",148.699997,148.830002,145.899994,147.929993,54777800,147.298264
"507",149.559998,151.820007,148.520004,150.75,41025300,150.106216
"508",151.289993,154.529999,149.630005,153.309998,45099100,152.655289
"509",152.5,153.970001,150.860001,153.800003,35780700,153.143204
"510",152.880005,153.699997,151.509995,152.289993,27023200,151.639633
"511",150.850006,151.270004,149.220001,150,32439200,149.359421
"512",150.270004,153.389999,150.050003,153.070007,28710900,152.416321
"513",153.080002,155.880005,153,154.940002,30569700,154.278336
"514",154.199997,157.660004,153.259995,155.860001,29821200,155.194397
"515",157.5,157.880005,155.979996,156.820007,33751000,156.150314
"516",156.410004,156.729996,152.619995,153.300003,30394000,152.64534
"517",154.149994,155.139999,151.699997,153.919998,23130600,153.26268
"518",154.110001,154.479996,151.740005,152.699997,25441500,152.047897
"519",155.479996,158.130005,154.320007,157.759995,33535500,157.086288
"520",155.789993,156.330002,153.660004,156.300003,26192100,155.632523
"521",156.25,158.130005,154.110001,154.679993,41587200,154.01944
"522",163.25,166.149994,160.229996,165.25,61109800,164.544296
"523",166.110001,169,164.559998,166.440002,40739600,165.729218
"524",166.960007,168.979996,165.929993,166.520004,32668100,165.808884
"525",167.410004,171.660004,167.279999,171.25,31495500,170.518677
"526",172.860001,175.080002,172.350006,174.179993,36101600,173.436157
"527",174.649994,175.570007,172.850006,174.240005,28239600,173.495911
"528",172.399994,173.940002,170.339996,170.940002,31741700,170.210007
"529",168.990005,170.660004,168.419998,170.410004,23820000,170.410004
"530",171.050003,171.210007,169.25,169.429993,20993400,169.429993
"531",170.100006,171,169.699997,170.889999,22283500,170.889999
"532",171.389999,172.479996,169.919998,170.179993,22490200,170.179993
"533",169.710007,171.259995,169.380005,170.800003,21835700,170.800003
"534",171.25,171.699997,169.75,170.419998,24626800,170.419998
"535",169.710007,171.440002,169.490005,170.929993,18972800,170.929993
"536",171.190002,173.320007,170.990005,172.029999,26114400,172.029999
"537",171.800003,172.369995,170.300003,171.059998,17249700,171.059998
"538",171.580002,173,171.380005,172.970001,18913200,172.970001
"539",174.160004,175.869995,173.949997,174.229996,21873400,174.229996
"540",173.710007,175.300003,173.169998,174.330002,17070200,174.330002
"541",173.210007,175,172.729996,174.869995,27835400,174.869995
"542",174.320007,174.910004,172.919998,173.149994,28215400,173.149994
"543",174.279999,175.149994,172.889999,174.970001,25886200,174.970001
"544",175.690002,177.75,173.970001,175.850006,27436200,175.850006
"545",175.940002,176,174.539993,175.529999,19737400,175.529999
"546",174.669998,175.490005,173.940002,174.520004,20810400,174.520004
"547",173.869995,174.440002,172.020004,172.5,24796400,172.5
"548",170.320007,173.070007,169.5,172.910004,23999400,172.910004
"549",175.490005,179.119995,175.350006,178.899994,32011000,178.899994
"550",180,182.669998,179.369995,180.910004,32467600,180.910004
"551",182.25,183.300003,180.919998,181.710007,31032500,181.710007
"552",183.899994,184.100006,182.559998,183.729996,23579500,183.729996
"553",184.850006,187.330002,183.740005,186.119995,39042900,186.119995
"554",185.800003,188.389999,185.789993,188.020004,26219800,188.020004
"555",188.350006,188.990005,185.919998,186.529999,31646400,186.529999
"556",186.229996,189.490005,184.729996,188.160004,31035200,188.160004
"557",190.020004,196.330002,189.809998,195.089996,51034200,195.089996
"558",195.339996,197.690002,190.779999,191.050003,42359300,191.050003
